Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalSum
14,4.3,3.0,1.1,0.1,Iris-setosa,7.3
39,4.4,3.0,1.3,0.2,Iris-setosa,7.4
43,4.4,3.2,1.3,0.2,Iris-setosa,7.6000000000000005
9,4.4,2.9,1.4,0.2,Iris-setosa,7.300000000000001
42,4.5,2.3,1.3,0.3,Iris-setosa,6.8
23,4.6,3.6,1.0,0.2,Iris-setosa,8.2
7,4.6,3.4,1.4,0.3,Iris-setosa,8.0
48,4.6,3.2,1.4,0.2,Iris-setosa,7.8
4,4.6,3.1,1.5,0.2,Iris-setosa,7.699999999999999
3,4.7,3.2,1.3,0.2,Iris-setosa,7.9
30,4.7,3.2,1.6,0.2,Iris-setosa,7.9
13,4.8,3.0,1.4,0.1,Iris-setosa,7.8
46,4.8,3.0,1.4,0.3,Iris-setosa,7.8
12,4.8,3.4,1.6,0.2,Iris-setosa,8.2
31,4.8,3.1,1.6,0.2,Iris-setosa,7.9
25,4.8,3.4,1.9,0.2,Iris-setosa,8.2
2,4.9,3.0,1.4,0.2,Iris-setosa,7.9
10,4.9,3.1,1.5,0.1,Iris-setosa,8.0
35,4.9,3.1,1.5,0.1,Iris-setosa,8.0
38,4.9,3.1,1.5,0.1,Iris-setosa,8.0
58,4.9,2.4,3.3,1.0,Iris-versicolor,7.300000000000001
107,4.9,2.5,4.5,1.7,Iris-virginica,7.4
36,5.0,3.2,1.2,0.2,Iris-setosa,8.2
41,5.0,3.5,1.3,0.3,Iris-setosa,8.5
5,5.0,3.6,1.4,0.2,Iris-setosa,8.6
50,5.0,3.3,1.4,0.2,Iris-setosa,8.3
8,5.0,3.4,1.5,0.2,Iris-setosa,8.4
26,5.0,3.0,1.6,0.2,Iris-setosa,8.0
27,5.0,3.4,1.6,0.4,Iris-setosa,8.4
44,5.0,3.5,1.6,0.6,Iris-setosa,8.5
94,5.0,2.3,3.3,1.0,Iris-versicolor,7.3
61,5.0,2.0,3.5,1.0,Iris-versicolor,7.0
1,5.1,3.5,1.4,0.2,Iris-setosa,8.6
18,5.1,3.5,1.4,0.3,Iris-setosa,8.6
20,5.1,3.8,1.5,0.3,Iris-setosa,8.899999999999999
22,5.1,3.7,1.5,0.4,Iris-setosa,8.8
40,5.1,3.4,1.5,0.2,Iris-setosa,8.5
47,5.1,3.8,1.6,0.2,Iris-setosa,8.899999999999999
24,5.1,3.3,1.7,0.5,Iris-setosa,8.399999999999999
45,5.1,3.8,1.9,0.4,Iris-setosa,8.899999999999999
99,5.1,2.5,3.0,1.1,Iris-versicolor,7.6
29,5.2,3.4,1.4,0.2,Iris-setosa,8.6
28,5.2,3.5,1.5,0.2,Iris-setosa,8.7
33,5.2,4.1,1.5,0.1,Iris-setosa,9.3
60,5.2,2.7,3.9,1.4,Iris-versicolor,7.9
49,5.3,3.7,1.5,0.2,Iris-setosa,9.0
17,5.4,3.9,1.3,0.4,Iris-setosa,9.3
11,5.4,3.7,1.5,0.2,Iris-setosa,9.100000000000001
32,5.4,3.4,1.5,0.4,Iris-setosa,8.8
6,5.4,3.9,1.7,0.4,Iris-setosa,9.3
21,5.4,3.4,1.7,0.2,Iris-setosa,8.8
85,5.4,3.0,4.5,1.5,Iris-versicolor,8.4
37,5.5,3.5,1.3,0.2,Iris-setosa,9.0
34,5.5,4.2,1.4,0.2,Iris-setosa,9.7
82,5.5,2.4,3.7,1.0,Iris-versicolor,7.9
81,5.5,2.4,3.8,1.1,Iris-versicolor,7.9
54,5.5,2.3,4.0,1.3,Iris-versicolor,7.8
90,5.5,2.5,4.0,1.3,Iris-versicolor,8.0
91,5.5,2.6,4.4,1.2,Iris-versicolor,8.1
65,5.6,2.9,3.6,1.3,Iris-versicolor,8.5
70,5.6,2.5,3.9,1.1,Iris-versicolor,8.1
89,5.6,3.0,4.1,1.3,Iris-versicolor,8.6
95,5.6,2.7,4.2,1.3,Iris-versicolor,8.3
67,5.6,3.0,4.5,1.5,Iris-versicolor,8.6
122,5.6,2.8,4.9,2.0,Iris-virginica,8.399999999999999
16,5.7,4.4,1.5,0.4,Iris-setosa,10.100000000000001
19,5.7,3.8,1.7,0.3,Iris-setosa,9.5
80,5.7,2.6,3.5,1.0,Iris-versicolor,8.3
100,5.7,2.8,4.1,1.3,Iris-versicolor,8.5
96,5.7,3.0,4.2,1.2,Iris-versicolor,8.7
97,5.7,2.9,4.2,1.3,Iris-versicolor,8.6
56,5.7,2.8,4.5,1.3,Iris-versicolor,8.5
114,5.7,2.5,5.0,2.0,Iris-virginica,8.2
15,5.8,4.0,1.2,0.2,Iris-setosa,9.8
83,5.8,2.7,3.9,1.2,Iris-versicolor,8.5
93,5.8,2.6,4.0,1.2,Iris-versicolor,8.4
68,5.8,2.7,4.1,1.0,Iris-versicolor,8.5
102,5.8,2.7,5.1,1.9,Iris-virginica,8.5
115,5.8,2.8,5.1,2.4,Iris-virginica,8.6
143,5.8,2.7,5.1,1.9,Iris-virginica,8.5
62,5.9,3.0,4.2,1.5,Iris-versicolor,8.9
71,5.9,3.2,4.8,1.8,Iris-versicolor,9.100000000000001
150,5.9,3.0,5.1,1.8,Iris-virginica,8.9
63,6.0,2.2,4.0,1.0,Iris-versicolor,8.2
79,6.0,2.9,4.5,1.5,Iris-versicolor,8.9
86,6.0,3.4,4.5,1.6,Iris-versicolor,9.4
139,6.0,3.0,4.8,1.8,Iris-virginica,9.0
120,6.0,2.2,5.0,1.5,Iris-virginica,8.2
84,6.0,2.7,5.1,1.6,Iris-versicolor,8.7
72,6.1,2.8,4.0,1.3,Iris-versicolor,8.899999999999999
92,6.1,3.0,4.6,1.4,Iris-versicolor,9.1
64,6.1,2.9,4.7,1.4,Iris-versicolor,9.0
74,6.1,2.8,4.7,1.2,Iris-versicolor,8.899999999999999
128,6.1,3.0,4.9,1.8,Iris-virginica,9.1
135,6.1,2.6,5.6,1.4,Iris-virginica,8.7
98,6.2,2.9,4.3,1.3,Iris-versicolor,9.1
69,6.2,2.2,4.5,1.5,Iris-versicolor,8.4
127,6.2,2.8,4.8,1.8,Iris-virginica,9.0
149,6.2,3.4,5.4,2.3,Iris-virginica,9.6
88,6.3,2.3,4.4,1.3,Iris-versicolor,8.6
57,6.3,3.3,4.7,1.6,Iris-versicolor,9.6
73,6.3,2.5,4.9,1.5,Iris-versicolor,8.8
124,6.3,2.7,4.9,1.8,Iris-virginica,9.0
147,6.3,2.5,5.0,1.9,Iris-virginica,8.8
134,6.3,2.8,5.1,1.5,Iris-virginica,9.1
104,6.3,2.9,5.6,1.8,Iris-virginica,9.2
137,6.3,3.4,5.6,2.4,Iris-virginica,9.7
101,6.3,3.3,6.0,2.5,Iris-virginica,9.6
75,6.4,2.9,4.3,1.3,Iris-versicolor,9.3
52,6.4,3.2,4.5,1.5,Iris-versicolor,9.600000000000001
112,6.4,2.7,5.3,1.9,Iris-virginica,9.100000000000001
116,6.4,3.2,5.3,2.3,Iris-virginica,9.600000000000001
138,6.4,3.1,5.5,1.8,Iris-virginica,9.5
129,6.4,2.8,5.6,2.1,Iris-virginica,9.2
133,6.4,2.8,5.6,2.2,Iris-virginica,9.2
55,6.5,2.8,4.6,1.5,Iris-versicolor,9.3
111,6.5,3.2,5.1,2.0,Iris-virginica,9.7
148,6.5,3.0,5.2,2.0,Iris-virginica,9.5
117,6.5,3.0,5.5,1.8,Iris-virginica,9.5
105,6.5,3.0,5.8,2.2,Iris-virginica,9.5
76,6.6,3.0,4.4,1.4,Iris-versicolor,9.6
59,6.6,2.9,4.6,1.3,Iris-versicolor,9.5
66,6.7,3.1,4.4,1.4,Iris-versicolor,9.8
87,6.7,3.1,4.7,1.5,Iris-versicolor,9.8
78,6.7,3.0,5.0,1.7,Iris-versicolor,9.7
146,6.7,3.0,5.2,2.3,Iris-virginica,9.7
141,6.7,3.1,5.6,2.4,Iris-virginica,9.8
125,6.7,3.3,5.7,2.1,Iris-virginica,10.0
145,6.7,3.3,5.7,2.5,Iris-virginica,10.0
109,6.7,2.5,5.8,1.8,Iris-virginica,9.2
77,6.8,2.8,4.8,1.4,Iris-versicolor,9.6
113,6.8,3.0,5.5,2.1,Iris-virginica,9.8
144,6.8,3.2,5.9,2.3,Iris-virginica,10.0
53,6.9,3.1,4.9,1.5,Iris-versicolor,10.0
142,6.9,3.1,5.1,2.3,Iris-virginica,10.0
140,6.9,3.1,5.4,2.1,Iris-virginica,10.0
121,6.9,3.2,5.7,2.3,Iris-virginica,10.100000000000001
51,7.0,3.2,4.7,1.4,Iris-versicolor,10.2
103,7.1,3.0,5.9,2.1,Iris-virginica,10.1
130,7.2,3.0,5.8,1.6,Iris-virginica,10.2
126,7.2,3.2,6.0,1.8,Iris-virginica,10.4
110,7.2,3.6,6.1,2.5,Iris-virginica,10.8
108,7.3,2.9,6.3,1.8,Iris-virginica,10.2
